rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
1,antiwork/gumroad,antiwork,Sell stuff and see what sticks,Ruby,9118,7,1923,,https://github.com/antiwork/gumroad,2026-05-25T11:36:29.040008+00:00,daily,ruby
2,discourse/discourse,discourse,"A platform for community discussion. Free, open, simple.",Ruby,47097,9,8918,,https://github.com/discourse/discourse,2026-05-25T11:36:29.040947+00:00,daily,ruby
3,hashicorp/vagrant,hashicorp,Vagrant is a tool for building and distributing development environments.,Ruby,27139,2,4420,,https://github.com/hashicorp/vagrant,2026-05-25T11:36:29.041790+00:00,daily,ruby
4,Homebrew/homebrew-cask,Homebrew,🍻 A CLI workflow for the administration of macOS applications distributed as binaries,Ruby,22039,1,11535,,https://github.com/Homebrew/homebrew-cask,2026-05-25T11:36:29.042682+00:00,daily,ruby
5,kilimchoi/engineering-blogs,kilimchoi,A curated list of engineering blogs,Ruby,38184,5,2015,,https://github.com/kilimchoi/engineering-blogs,2026-05-25T11:36:29.043485+00:00,daily,ruby
6,ruby/ruby,ruby,The Ruby Programming Language,Ruby,23590,0,5593,,https://github.com/ruby/ruby,2026-05-25T11:36:29.044382+00:00,daily,ruby
7,rails/rails,rails,Ruby on Rails,Ruby,58465,8,22266,,https://github.com/rails/rails,2026-05-25T11:36:29.045507+00:00,daily,ruby
8,amatsuda/rubish,amatsuda,,Ruby,213,26,4,,https://github.com/amatsuda/rubish,2026-05-25T11:36:29.046480+00:00,daily,ruby
9,opf/openproject,opf,OpenProject is the leading open source project management software.,Ruby,15151,6,3262,,https://github.com/opf/openproject,2026-05-25T11:36:29.048497+00:00,daily,ruby
10,jekyll/jekyll,jekyll,🌐 Jekyll is a blog-aware static site generator in Ruby,Ruby,51451,3,10286,,https://github.com/jekyll/jekyll,2026-05-25T11:36:29.049223+00:00,daily,ruby
11,rubysec/ruby-advisory-db,rubysec,A database of vulnerable Ruby Gems,Ruby,1062,0,233,,https://github.com/rubysec/ruby-advisory-db,2026-05-25T11:36:29.050022+00:00,daily,ruby
12,lostisland/faraday,lostisland,"Simple, but flexible HTTP client library, with support for multiple backends.",Ruby,5937,1,1017,,https://github.com/lostisland/faraday,2026-05-25T11:36:29.051303+00:00,daily,ruby
13,basecamp/once-campfire,basecamp,"Super simple group chat, without a subscription",Ruby,4343,1,734,,https://github.com/basecamp/once-campfire,2026-05-25T11:36:29.052223+00:00,daily,ruby
14,openai/openai-ruby,openai,Official Ruby SDK for the OpenAI API,Ruby,432,0,47,,https://github.com/openai/openai-ruby,2026-05-25T11:36:29.053093+00:00,daily,ruby
