rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
5,knadh/listmonk,knadh,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",Go,20741,479,2159,,https://github.com/knadh/listmonk,2026-05-18T08:34:47.235868+00:00,weekly,go
6,influxdata/telegraf,influxdata,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.",Go,17517,647,5806,,https://github.com/influxdata/telegraf,2026-05-18T08:34:47.236334+00:00,weekly,go
7,Agent-Field/agentfield,Agent-Field,"Build, run and scale AI agents like API and microservices - observable,auditable and identity-aware from day one.",Go,1875,192,306,,https://github.com/Agent-Field/agentfield,2026-05-18T08:34:47.236807+00:00,weekly,go
8,microsoft/waza,microsoft,"CLI / Framework for Agent Skills - create, test, measure and improve skill quality and effectiveness",Go,759,184,39,,https://github.com/microsoft/waza,2026-05-18T08:34:47.237303+00:00,weekly,go
9,masterking32/MasterDnsVPN,masterking32,"Advanced DNS tunneling VPN for censorship bypass, optimized beyond DNSTT and SlipStream with low-overhead ARQ, resolver load balancing, high packet-loss stability and speed.",Go,3579,517,373,,https://github.com/masterking32/MasterDnsVPN,2026-05-18T08:34:47.237803+00:00,weekly,go
10,gitleaks/gitleaks,gitleaks,Find secrets with Gitleaks 🔑,Go,27067,277,2049,,https://github.com/gitleaks/gitleaks,2026-05-18T08:34:47.238334+00:00,weekly,go
11,Wei-Shaw/sub2api,Wei-Shaw,Sub2API-CRS2 一站式开源中转服务，让 Claude、Openai 、Gemini、Antigravity订阅统一接入，支持拼车共享，更高效分摊成本，原生工具无缝使用。,Go,21618,1986,4096,,https://github.com/Wei-Shaw/sub2api,2026-05-18T08:34:47.238866+00:00,weekly,go
12,caddyserver/caddy,caddyserver,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,Go,72544,253,4743,,https://github.com/caddyserver/caddy,2026-05-18T08:34:47.239483+00:00,weekly,go
13,m5stack/StackChan,m5stack,StackChan open source!,Go,700,93,155,,https://github.com/m5stack/StackChan,2026-05-18T08:34:47.240056+00:00,weekly,go
14,chaos-mesh/chaos-mesh,chaos-mesh,A Chaos Engineering Platform for Kubernetes.,Go,7708,35,984,,https://github.com/chaos-mesh/chaos-mesh,2026-05-18T08:34:47.240586+00:00,weekly,go
15,projectdiscovery/nuclei,projectdiscovery,"Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",Go,28714,423,3428,,https://github.com/projectdiscovery/nuclei,2026-05-18T08:34:47.241145+00:00,weekly,go
16,urfave/cli,urfave,"A declarative, simple, fast, and fun package for building command line tools in Go",Go,24065,37,1777,,https://github.com/urfave/cli,2026-05-18T08:34:47.241643+00:00,weekly,go
1,jeecgboot/JeecgBoot,jeecgboot,AI 低代码平台，「低代码 + 零代码」双模式驱动：低代码一键生成前后端代码，零代码 5 分钟搭建系统，AI Skills 一句话画流程、设计表单、生成整套系统。内置 AI聊天、知识库、流程编排、MCP插件等，兼容主流大模型。引领「AI 生成 → 在线配置 → 代码生成 → 手工合并->AI修改」开发模式，消除 Java 项目 80% 的重复工作，提效而不失灵活。,Java,46305,172,15997,,https://github.com/jeecgboot/JeecgBoot,2026-05-18T08:34:51.607902+00:00,weekly,java
2,MojoLauncher/MojoLauncher,MojoLauncher,"A Minecraft: Java Edition launcher, based on PojavLauncher",Java,588,28,195,,https://github.com/MojoLauncher/MojoLauncher,2026-05-18T08:34:51.608490+00:00,weekly,java
3,NationalSecurityAgency/ghidra,NationalSecurityAgency,Ghidra is a software reverse engineering (SRE) framework,Java,68594,316,7539,,https://github.com/NationalSecurityAgency/ghidra,2026-05-18T08:34:51.609121+00:00,weekly,java
4,alibaba/spring-ai-alibaba,alibaba,Agentic AI Framework for Java Developers,Java,9644,108,2151,,https://github.com/alibaba/spring-ai-alibaba,2026-05-18T08:34:51.609714+00:00,weekly,java
5,apache/kafka,apache,Apache Kafka - A distributed event streaming platform,Java,32618,80,15198,,https://github.com/apache/kafka,2026-05-18T08:34:51.610259+00:00,weekly,java
6,ashishps1/awesome-low-level-design,ashishps1,Learn Low Level Design (LLD) and prepare for interviews using free resources.,Java,24057,199,5875,,https://github.com/ashishps1/awesome-low-level-design,2026-05-18T08:34:51.610788+00:00,weekly,java
7,agentscope-ai/agentscope-java,agentscope-ai,AgentScope Java: Agent-Oriented Programming for Building LLM Applications,Java,3116,205,659,,https://github.com/agentscope-ai/agentscope-java,2026-05-18T08:34:51.611317+00:00,weekly,java
8,spring-projects/spring-ai,spring-projects,An Application Framework for AI Engineering,Java,8723,49,2571,,https://github.com/spring-projects/spring-ai,2026-05-18T08:34:51.611868+00:00,weekly,java
9,TeamNewPipe/NewPipe,TeamNewPipe,A libre lightweight streaming front-end for Android.,Java,38183,113,3580,,https://github.com/TeamNewPipe/NewPipe,2026-05-18T08:34:51.612401+00:00,weekly,java
10,iflytek/astron-agent,iflytek,"Enterprise-grade, commercial-friendly agentic workflow platform for building next-generation SuperAgents.",Java,8795,646,889,,https://github.com/iflytek/astron-agent,2026-05-18T08:34:51.612914+00:00,weekly,java
11,ashishps1/awesome-system-design-resources,ashishps1,Learn System Design concepts and prepare for interviews using free resources.,Java,37325,257,8048,,https://github.com/ashishps1/awesome-system-design-resources,2026-05-18T08:34:51.613419+00:00,weekly,java
12,ashishps1/awesome-leetcode-resources,ashishps1,Awesome LeetCode resources to learn Data Structures and Algorithms and prepare for Coding Interviews.,Java,16499,120,3503,,https://github.com/ashishps1/awesome-leetcode-resources,2026-05-18T08:34:51.613935+00:00,weekly,java
13,kestra-io/kestra,kestra-io,Event Driven Orchestration & Scheduling Platform for Mission Critical Applications,Java,26876,84,2585,,https://github.com/kestra-io/kestra,2026-05-18T08:34:51.614445+00:00,weekly,java
14,JetBrains/intellij-community,JetBrains,IntelliJ IDEA & IntelliJ Platform,Java,20120,44,5883,,https://github.com/JetBrains/intellij-community,2026-05-18T08:34:51.614952+00:00,weekly,java
15,tonikelope/megabasterd,tonikelope,Yet another unofficial (and ugly) cross-platform MEGA downloader/uploader/streaming suite.,Java,5483,22,636,,https://github.com/tonikelope/megabasterd,2026-05-18T08:34:51.615471+00:00,weekly,java
16,PojavLauncherTeam/PojavLauncher,PojavLauncherTeam,A Minecraft: Java Edition Launcher for Android and iOS based on Boardwalk. Succeeded by,Java,8959,35,1993,,https://github.com/PojavLauncherTeam/PojavLauncher,2026-05-18T08:34:51.616116+00:00,weekly,java
17,quarkusio/quarkus,quarkusio,Quarkus: Supersonic Subatomic Java.,Java,15669,17,3170,,https://github.com/quarkusio/quarkus,2026-05-18T08:34:51.616651+00:00,weekly,java
18,apache/flink,apache,Apache Flink,Java,26010,22,13938,,https://github.com/apache/flink,2026-05-18T08:34:51.617199+00:00,weekly,java
19,apache/pulsar,apache,Apache Pulsar - distributed pub-sub messaging system,Java,15243,14,3732,,https://github.com/apache/pulsar,2026-05-18T08:34:51.617734+00:00,weekly,java
20,spring-projects/spring-boot,spring-projects,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",Java,80662,87,41929,,https://github.com/spring-projects/spring-boot,2026-05-18T08:34:51.618261+00:00,weekly,java
1,hyprwm/Hyprland,hyprwm,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",C++,35859,282,1744,,https://github.com/hyprwm/Hyprland,2026-05-18T08:34:57.581555+00:00,weekly,c++
2,kamyu104/LeetCode-Solutions,kamyu104,🏋️ Python / Modern C++ Solutions of All 3928 LeetCode Problems (Weekly Update),C++,5547,233,1731,,https://github.com/kamyu104/LeetCode-Solutions,2026-05-18T08:34:57.581952+00:00,weekly,c++
3,ton-blockchain/ton,ton-blockchain,Main TON monorepo,C++,4013,30,1539,,https://github.com/ton-blockchain/ton,2026-05-18T08:34:57.582273+00:00,weekly,c++
4,Vita3K/Vita3K,Vita3K,Experimental PlayStation Vita emulator,C++,5270,37,518,,https://github.com/Vita3K/Vita3K,2026-05-18T08:34:57.582574+00:00,weekly,c++
5,ztxz16/fastllm,ztxz16,fastllm是后端无依赖的高性能大模型推理库。同时支持张量并行推理稠密模型和混合模式推理MOE模型，任意10G以上显卡即可推理满血DeepSeek。双路9004/9005服务器+单显卡部署DeepSeek满血满精度原版模型，单并发20tps；INT4量化模型单并发30tps，多并发可达60+。,C++,4638,136,462,,https://github.com/ztxz16/fastllm,2026-05-18T08:34:57.582916+00:00,weekly,c++
6,grpc/grpc,grpc,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,44773,56,11170,,https://github.com/grpc/grpc,2026-05-18T08:34:57.583222+00:00,weekly,c++
7,microsoft/WSL,microsoft,Windows Subsystem for Linux,C++,32317,114,1721,,https://github.com/microsoft/WSL,2026-05-18T08:34:57.583523+00:00,weekly,c++
8,NVIDIA/nccl,NVIDIA,Optimized primitives for collective multi-GPU communication,C++,4723,34,1256,,https://github.com/NVIDIA/nccl,2026-05-18T08:34:57.583853+00:00,weekly,c++
9,NVIDIA/cutlass,NVIDIA,CUDA Templates and Python DSLs for High-Performance Linear Algebra,C++,9734,53,1858,,https://github.com/NVIDIA/cutlass,2026-05-18T08:34:57.584156+00:00,weekly,c++
10,bambulab/BambuStudio,bambulab,PC Software for BambuLab and other 3D printers,C++,4486,62,796,,https://github.com/bambulab/BambuStudio,2026-05-18T08:34:57.584450+00:00,weekly,c++
11,MaaAssistantArknights/MaaAssistantArknights,MaaAssistantArknights,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",C++,21016,214,2618,,https://github.com/MaaAssistantArknights/MaaAssistantArknights,2026-05-18T08:34:57.584789+00:00,weekly,c++
12,78/xiaozhi-esp32,78,An MCP-based chatbot | 一个基于MCP的聊天机器人,C++,26529,229,5832,,https://github.com/78/xiaozhi-esp32,2026-05-18T08:34:57.585092+00:00,weekly,c++
13,jarczakpawel/BMCU-C-PJARCZAK,jarczakpawel,"BMCU 370C (Hall) firmware for Bambu Lab A1 / A1 mini / P1S with buffer calibration - all known issues fixed, 100% AMS-compatible behavior.",C++,391,73,60,,https://github.com/jarczakpawel/BMCU-C-PJARCZAK,2026-05-18T08:34:57.585371+00:00,weekly,c++
14,tenstorrent/tt-metal,tenstorrent,"🤘 TT-NN operator library, and TT-Metalium low level kernel programming model.",C++,1452,5,448,,https://github.com/tenstorrent/tt-metal,2026-05-18T08:34:57.585661+00:00,weekly,c++
15,Alexays/Waybar,Alexays,Highly customizable Wayland bar for Sway and Wlroots based compositors. ✌️ 🎉,C++,11304,68,1058,,https://github.com/Alexays/Waybar,2026-05-18T08:34:57.585993+00:00,weekly,c++
16,opencv/opencv,opencv,Open Source Computer Vision Library,C++,87523,119,56576,,https://github.com/opencv/opencv,2026-05-18T08:34:57.586295+00:00,weekly,c++
17,dalathegreat/Battery-Emulator,dalathegreat,This revolutionary software enables EV battery packs to be easily reused for stationary storage in combination with solar inverters,C++,2555,112,341,,https://github.com/dalathegreat/Battery-Emulator,2026-05-18T08:34:57.586589+00:00,weekly,c++
18,envoyproxy/envoy,envoyproxy,Cloud-native high-performance edge/middle/service proxy,C++,28097,150,5381,,https://github.com/envoyproxy/envoy,2026-05-18T08:34:57.586912+00:00,weekly,c++
19,deskflow/deskflow,deskflow,Share a single keyboard and mouse between multiple computers.,C++,25850,176,4585,,https://github.com/deskflow/deskflow,2026-05-18T08:34:57.587222+00:00,weekly,c++
20,UE4SS-RE/RE-UE4SS,UE4SS-RE,"Injectable LUA scripting system, SDK generator, live property editor and other dumping utilities for UE4/5 games",C++,2499,26,411,,https://github.com/UE4SS-RE/RE-UE4SS,2026-05-18T08:34:57.587513+00:00,weekly,c++
21,NVIDIA/cuda-samples,NVIDIA,Samples for CUDA Developers which demonstrates features in CUDA Toolkit,C++,9184,35,2337,,https://github.com/NVIDIA/cuda-samples,2026-05-18T08:34:57.587842+00:00,weekly,c++
1,Genymobile/scrcpy,Genymobile,Display and control your Android device,C,141883,2220,13094,,https://github.com/Genymobile/scrcpy,2026-05-18T08:35:01.077532+00:00,weekly,c
