rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
19,FalkorDB/FalkorDB,FalkorDB,A super fast Graph Database uses GraphBLAS under the hood for its sparse adjacency matrix graph representation. Our goal is to provide the best Knowledge Graph for LLM (GraphRAG).,C,4425,466,357,,https://github.com/FalkorDB/FalkorDB,2026-05-18T08:36:17.237157+00:00,monthly,c
20,dorianborian/sesame-robot,dorianborian,An open and affordable mini quadruped robot based on ESP32.,C,2329,770,307,,https://github.com/dorianborian/sesame-robot,2026-05-18T08:36:17.237434+00:00,monthly,c
3,SimoneAvogadro/android-reverse-engineering-skill,SimoneAvogadro,Claude Code skill to support Android app's reverse engineering,Shell,5731,3044,649,,https://github.com/SimoneAvogadro/android-reverse-engineering-skill,2026-05-18T08:36:21.397394+00:00,monthly,shell
4,Leonxlnx/taste-skill,Leonxlnx,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop",Shell,17880,8639,1522,,https://github.com/Leonxlnx/taste-skill,2026-05-18T08:36:21.397735+00:00,monthly,shell
5,pi-hole/pi-hole,pi-hole,A black hole for Internet advertisements,Shell,58674,2176,3166,,https://github.com/pi-hole/pi-hole,2026-05-18T08:36:21.398052+00:00,monthly,shell
6,Donchitos/Claude-Code-Game-Studios,Donchitos,"Turn Claude Code into a full game dev studio — 49 AI agents, 72 workflow skills, and a complete coordination system mirroring real studio hierarchy.",Shell,19091,7408,2795,,https://github.com/Donchitos/Claude-Code-Game-Studios,2026-05-18T08:36:21.398416+00:00,monthly,shell
7,pystardust/ani-cli,pystardust,A cli tool to browse and play anime,Shell,12408,393,778,,https://github.com/pystardust/ani-cli,2026-05-18T08:36:21.398742+00:00,monthly,shell
8,obra/superpowers,obra,An agentic skills framework & software development methodology that works.,Shell,195804,38379,17425,,https://github.com/obra/superpowers,2026-05-18T08:36:21.399090+00:00,monthly,shell
9,basecamp/omarchy,basecamp,"Beautiful, Modern & Opinionated Linux",Shell,23060,1169,2310,,https://github.com/basecamp/omarchy,2026-05-18T08:36:21.399391+00:00,monthly,shell
10,mack-a/v2ray-agent,mack-a,Xray、Tuic、hysteria2、sing-box 八合一一键脚本,Shell,20667,765,5425,,https://github.com/mack-a/v2ray-agent,2026-05-18T08:36:21.399689+00:00,monthly,shell
11,VSCodium/vscodium,VSCodium,binary releases of VS Code without MS branding/telemetry/licensing,Shell,31467,571,1708,,https://github.com/VSCodium/vscodium,2026-05-18T08:36:21.399986+00:00,monthly,shell
12,CachyOS/linux-cachyos,CachyOS,Archlinux Kernel based on different schedulers and some other performance improvements.,Shell,3669,385,123,,https://github.com/CachyOS/linux-cachyos,2026-05-18T08:36:21.400286+00:00,monthly,shell
1,alienator88/Pearcleaner,alienator88,"A free, source-available and fair-code licensed mac app cleaner",Swift,13155,819,317,,https://github.com/alienator88/Pearcleaner,2026-05-18T08:36:25.440475+00:00,monthly,swift
2,iina/iina,iina,The modern video player for macOS.,Swift,44906,506,2819,,https://github.com/iina/iina,2026-05-18T08:36:25.440834+00:00,monthly,swift
3,sw33tLie/macshot,sw33tLie,"Feature-packed native macOS screenshot & recording tool: annotate, auto-redact PII, record GIFs, OCR + translate, scroll capture, beautify, and more. No Electron, no subscription.",Swift,1663,871,96,,https://github.com/sw33tLie/macshot,2026-05-18T08:36:25.441149+00:00,monthly,swift
4,p0deje/Maccy,p0deje,Lightweight clipboard manager for macOS,Swift,19899,483,954,,https://github.com/p0deje/Maccy,2026-05-18T08:36:25.441498+00:00,monthly,swift
5,jaywcjlove/awesome-mac,jaywcjlove, This project is dedicated to collecting high-quality macOS software and organizing them systematically by different categories for easy search and use.,Swift,104278,2324,7771,,https://github.com/jaywcjlove/awesome-mac,2026-05-18T08:36:25.441815+00:00,monthly,swift
6,exelban/stats,exelban,macOS system monitor in your menu bar,Swift,38885,899,1325,,https://github.com/exelban/stats,2026-05-18T08:36:25.442131+00:00,monthly,swift
7,TheBoredTeam/boring.notch,TheBoredTeam,TheBoringNotch: Not so boring notch That Rocks 🎸🎶,Swift,9164,746,715,,https://github.com/TheBoredTeam/boring.notch,2026-05-18T08:36:25.442433+00:00,monthly,swift
8,stonerl/Thaw,stonerl,Menu bar manager for macOS 26,Swift,5886,1536,132,,https://github.com/stonerl/Thaw,2026-05-18T08:36:25.442741+00:00,monthly,swift
